agent,size,dirt,size_value,time,performance
random,16x16,0.42,4.0,1000.0,0.3156965213399698
random,16x16,0.43,4.0,1000.0,0.3153900016124012
random,16x16,0.44,4.0,1000.0,0.31570967059953203
random,16x16,0.45,4.0,1000.0,0.3163092294905679
random,16x16,0.46,4.0,1000.0,0.31579096180245697
random,16x16,0.47000000000000003,4.0,1000.0,0.3170429846031658
random,16x16,0.48,4.0,1000.0,0.3181401190308214
random,16x16,0.49,4.0,1000.0,0.3153468689660642
random,16x16,0.5,4.0,1000.0,0.31565154389843364
random,16x16,0.51,4.0,1000.0,0.3171090694460563
random,16x16,0.52,4.0,1000.0,0.31539575873842896
random,16x16,0.53,4.0,1000.0,0.3168029439139388
random,16x16,0.54,4.0,1000.0,0.31786337005681603
random,16x16,0.55,4.0,1000.0,0.31873748286373027
random,16x16,0.56,4.0,1000.0,0.31522608579404476
random,16x16,0.5700000000000001,4.0,1000.0,0.31811439551771775
random,16x16,0.58,4.0,1000.0,0.3167633994624985
random,16x16,0.59,4.0,1000.0,0.3171235386122326
random,16x16,0.6,4.0,1000.0,0.31593589633365565
random,16x16,0.61,4.0,1000.0,0.31587059964583186
random,16x16,0.62,4.0,1000.0,0.3176208162413134
random,16x16,0.63,4.0,1000.0,0.31580291546563805
random,16x16,0.64,4.0,1000.0,0.3188489372080682
random,16x16,0.65,4.0,1000.0,0.3165227341513671
random,16x16,0.66,4.0,1000.0,0.3171685573658485
random,16x16,0.67,4.0,1000.0,0.3159484507351356
random,16x16,0.68,4.0,1000.0,0.3166925817379141
random,16x16,0.6900000000000001,4.0,1000.0,0.3146481700728856
random,16x16,0.7000000000000001,4.0,1000.0,0.31630402729187723
random,16x16,0.71,4.0,1000.0,0.31940021312598477
random,16x16,0.72,4.0,1000.0,0.31717320511595554
random,16x16,0.73,4.0,1000.0,0.317768856466233
random,16x16,0.74,4.0,1000.0,0.31735226087445434
random,16x16,0.75,4.0,1000.0,0.31759380829827694
random,16x16,0.76,4.0,1000.0,0.31665467295287497
random,16x16,0.77,4.0,1000.0,0.3165559833162632
random,16x16,0.78,4.0,1000.0,0.3161564875693656
random,16x16,0.79,4.0,1000.0,0.31558641255862613
random,16x16,0.8,4.0,1000.0,0.318301909874109
random,16x16,0.81,4.0,1000.0,0.3163980756843375
random,16x16,0.8200000000000001,4.0,1000.0,0.3166155127174351
random,16x16,0.8300000000000001,4.0,1000.0,0.3155659997804102
random,16x16,0.84,4.0,1000.0,0.3173418207976493
random,16x16,0.85,4.0,1000.0,0.31983263257287403
random,16x16,0.86,4.0,1000.0,0.31825681566732744
random,16x16,0.87,4.0,1000.0,0.3155747587183324
random,16x16,0.88,4.0,1000.0,0.3167957955890113
random,16x16,0.89,4.0,1000.0,0.31351865685252195
random,16x16,0.9,4.0,1000.0,0.3199839994784032
random,16x16,0.91,4.0,1000.0,0.3176760509665977
random,16x16,0.92,4.0,1000.0,0.3142743689264164
random,16x16,0.93,4.0,1000.0,0.3159681625535477
random,16x16,0.9400000000000001,4.0,1000.0,0.31907989684144267
random,16x16,0.9500000000000001,4.0,1000.0,0.3163809418605632
random,16x16,0.96,4.0,1000.0,0.3165949705939618
random,16x16,0.97,4.0,1000.0,0.3155584983419104
random,16x16,0.98,4.0,1000.0,0.31816885616456675
random,16x16,0.99,4.0,1000.0,0.31705807046905266
random,1x1,0.0,0.0,0.0,1.0
random,1x1,0.01,0.0,0.095,1.0
random,1x1,0.02,0.0,0.057,1.0
random,1x1,0.03,0.0,0.112,1.0
random,1x1,0.04,0.0,0.26,1.0
random,1x1,0.05,0.0,0.191,1.0
random,1x1,0.06,0.0,0.496,1.0
random,1x1,0.07,0.0,0.462,1.0
random,1x1,0.08,0.0,0.473,1.0
random,1x1,0.09,0.0,0.64,1.0
random,1x1,0.1,0.0,0.556,1.0
random,1x1,0.11,0.0,0.701,1.0
random,1x1,0.12,0.0,0.603,1.0
random,1x1,0.13,0.0,0.761,1.0
random,1x1,0.14,0.0,0.932,1.0
random,1x1,0.15,0.0,1.021,1.0
random,1x1,0.16,0.0,1.021,1.0
random,1x1,0.17,0.0,0.948,1.0
random,1x1,0.18,0.0,0.874,1.0
random,1x1,0.19,0.0,1.175,1.0
random,1x1,0.2,0.0,1.01,1.0
random,1x1,0.21,0.0,1.242,1.0
random,1x1,0.22,0.0,1.237,1.0
random,1x1,0.23,0.0,1.363,1.0
random,1x1,0.24,0.0,1.457,1.0
random,1x1,0.25,0.0,1.331,1.0
random,1x1,0.26,0.0,1.607,1.0
random,1x1,0.27,0.0,1.586,1.0
random,1x1,0.28,0.0,1.734,1.0
random,1x1,0.29,0.0,1.63,1.0
random,1x1,0.3,0.0,1.956,1.0
random,1x1,0.31,0.0,2.067,1.0
random,1x1,0.32,0.0,2.11,1.0
random,1x1,0.33,0.0,2.086,1.0
random,1x1,0.34,0.0,1.934,1.0
random,1x1,0.35000000000000003,0.0,2.079,1.0
random,1x1,0.36,0.0,2.222,1.0
random,1x1,0.37,0.0,2.034,1.0
random,1x1,0.38,0.0,2.207,1.0
random,1x1,0.39,0.0,2.588,1.0
random,1x1,0.4,0.0,1.983,1.0
random,1x1,0.41000000000000003,0.0,2.411,1.0
random,1x1,0.42,0.0,2.671,1.0
random,1x1,0.43,0.0,2.652,1.0
random,1x1,0.44,0.0,2.822,1.0
random,1x1,0.45,0.0,2.802,1.0
random,1x1,0.46,0.0,2.617,1.0
random,1x1,0.47000000000000003,0.0,2.867,1.0
random,1x1,0.48,0.0,3.085,1.0
random,1x1,0.49,0.0,2.85,1.0
random,1x1,0.5,0.0,3.263,1.0
random,1x1,0.51,0.0,2.897,1.0
random,1x1,0.52,0.0,2.696,1.0
random,1x1,0.53,0.0,3.185,1.0
random,1x1,0.54,0.0,2.908,1.0
random,1x1,0.55,0.0,3.482,1.0
random,1x1,0.56,0.0,3.392,1.0
random,1x1,0.5700000000000001,0.0,3.25,1.0
random,1x1,0.58,0.0,3.522,1.0
random,1x1,0.59,0.0,3.568,1.0
random,1x1,0.6,0.0,3.539,1.0
random,1x1,0.61,0.0,3.757,1.0
random,1x1,0.62,0.0,3.678,1.0
random,1x1,0.63,0.0,3.492,1.0
random,1x1,0.64,0.0,3.708,1.0
random,1x1,0.65,0.0,3.906,1.0
random,1x1,0.66,0.0,3.703,1.0
random,1x1,0.67,0.0,4.039,1.0
random,1x1,0.68,0.0,3.855,1.0
random,1x1,0.6900000000000001,0.0,4.153,1.0
random,1x1,0.7000000000000001,0.0,4.189,1.0
random,1x1,0.71,0.0,4.577,1.0
random,1x1,0.72,0.0,4.359,1.0
random,1x1,0.73,0.0,4.083,1.0
random,1x1,0.74,0.0,4.662,1.0
random,1x1,0.75,0.0,4.304,1.0
random,1x1,0.76,0.0,4.415,1.0
random,1x1,0.77,0.0,4.86,1.0
random,1x1,0.78,0.0,4.604,1.0
random,1x1,0.79,0.0,4.858,1.0
random,1x1,0.8,0.0,4.157,1.0
random,1x1,0.81,0.0,4.711,1.0
random,1x1,0.8200000000000001,0.0,5.203,1.0
random,1x1,0.8300000000000001,0.0,4.756,1.0
random,1x1,0.84,0.0,5.203,1.0
random,1x1,0.85,0.0,4.889,1.0
random,1x1,0.86,0.0,5.077,1.0
random,1x1,0.87,0.0,5.261,1.0
random,1x1,0.88,0.0,5.118,1.0
random,1x1,0.89,0.0,5.571,1.0
random,1x1,0.9,0.0,5.277,1.0
random,1x1,0.91,0.0,5.391,1.0
random,1x1,0.92,0.0,5.539,1.0
random,1x1,0.93,0.0,5.686,1.0
random,1x1,0.9400000000000001,0.0,5.459,1.0
random,1x1,0.9500000000000001,0.0,5.774,1.0
random,1x1,0.96,0.0,5.709,1.0
random,1x1,0.97,0.0,5.639,1.0
random,1x1,0.98,0.0,5.912,1.0
random,1x1,0.99,0.0,5.804,1.0
random,2x2,0.0,1.0,0.0,1.0
random,2x2,0.01,1.0,0.91,1.0
random,2x2,0.02,1.0,2.073,1.0
random,2x2,0.03,1.0,4.165,1.0
random,2x2,0.04,1.0,4.817,1.0
random,2x2,0.05,1.0,5.99,1.0
random,2x2,0.06,1.0,7.155,1.0
random,2x2,0.07,1.0,7.804,1.0
random,2x2,0.08,1.0,8.922,1.0
random,2x2,0.09,1.0,10.202,1.0
random,2x2,0.1,1.0,11.768,1.0
random,2x2,0.11,1.0,13.529,1.0
random,2x2,0.12,1.0,12.872,1.0
random,2x2,0.13,1.0,14.202,1.0
random,2x2,0.14,1.0,15.409,1.0
random,2x2,0.15,1.0,17.002,1.0
random,2x2,0.16,1.0,19.801,1.0
random,2x2,0.17,1.0,18.98,1.0
random,2x2,0.18,1.0,19.947,1.0
random,2x2,0.19,1.0,20.256,1.0
random,2x2,0.2,1.0,21.323,1.0
random,2x2,0.21,1.0,22.829,1.0
random,2x2,0.22,1.0,21.682,1.0
random,2x2,0.23,1.0,24.524,1.0
