,algorithm_name,env_n,estates_n,solution_found
278,random,8,10000,False
279,random,9,10000,False
280,random,10,10000,False
281,random,11,10000,False
282,random,12,10000,False
283,random,13,10000,False
284,random,14,10000,False
285,random,15,10000,False
286,random,16,10000,False
287,random,17,10000,False
288,random,18,10000,False
289,random,19,10000,False
290,random,20,10000,False
291,random,21,9775,True
292,random,22,10000,False
293,random,23,10000,False
294,random,24,10000,False
295,random,25,10000,False
296,random,26,10000,False
297,random,27,10000,False
298,random,28,10000,False
299,random,29,10000,False
